Skill Name,,Score/SP,Base Cost,Distance/Run Style,Why?
Huge Lead,✕,2.94,170,Sprint,"12.5m lead is highly unfeasible, this skill will almost never activate"
Staggering Lead,✕,3.53,170+170,Sprint,"12.5m lead is highly unfeasible, this skill will almost never activate"
Cut and Drive!,✕,2.50,200,/,"Not the most consistent, and also a weak effect, not worth taking"
G00 1st. F∞;,✕,2.50,200,/,0.15m/s but has two additional checks (for Start Delay and Rushed)
Genius x Bakushin = Victory,✕,2.50,200,/,"Fairly consistent, but also weak"
I See Victory in My Future!,✕,2.50,200,/,Front Block condition is downright horrible
Prideful King,✕,2.50,200,/,"Extremely inconsistent, if not totally impossible to even activate in any distance but Sprint"
Schwarzes Schwert,✕,2.50,200,/,0.15m/s but requires two additional checks (for Start Delay and Rushed)
A Princess Must Seize Victory!,✕,2.50,200,/,Side block condition on the Last Straight is quite strict and difficult to proc
Dancing in the Leaves,✕,2.50,200,/,"Side Block isn't consistent, effect isn't outstanding either"
Calm in a Crowd,✕,2.94,170,/,Almost impossible to be boxed in on all sides in CM
Unruffled,✕,3.53,170+170,/,Almost impossible to be boxed in on all sides in CM
Second Wind,✕,2.78,180,Front Runner,"Expensive and impossible to activate on Front Runners, plus, Mid-Race acceleration is useless"
Restart,✕,3.85,130,Front Runner,"Last Half of the Pack, at Random Point during Early-Race, ≥5s after Race Start"
Stop Right There!,✕,2.94,170,Sprint,"Last Half of the Pack, at Random Point during Early-Race, ≥5s after Race Start"
Opening Gambit,✕,3.13,160,Mile,"Last Half of the Pack, at Random Point during Early-Race, ≥3s after Race Start"
Battle Formation,✕,3.75,160+160,Mile,"Last Half of the Pack, at Random Point during Early-Race, ≥3s after Race Start"
[Rotation]-Handed ◎,✕,2.50,90+110,/,Speed stat increase is significant
[Season] Runner ◎,✕,2.50,90+110,/,Speed stat increase is significant
Fall Frenzy,✕,3.64,90+110+130,/,Take only on Autumn CMs
Outer Post Proficiency ◯,✕,5.56,90,/,Post Numbers 6-8 is inconsistent
Outer Post Proficiency ◎,✕,2.50,90+110,/,Post Numbers 6-8 is inconsistent
Maverick ◯,✕,5.56,90,/,Very rare to have no Umas use your run style
Maverick ◎,✕,2.50,90+110,/,Very rare to have no Umas use your run style
Long Shot ◯,✕,5.56,90,/,"Popularity-dependent skills are inconsistent "
Long Shot ◎,✕,2.50,90+110,/,"Popularity-dependent skills are inconsistent "
Sympathy,✕,7.14,70,/,Practically impossible to proc
[Location] Racecourse ◎,✕,2.50,90+110,/,Stamina stat increase is good but not completely necessary unless you're short of stamina
Yodo Invicta,✕,3.64,90+110+130,/,Stamina stat increase is good but not completely necessary unless you're short of stamina
Standard Distance ◎,✕,2.50,90+110,/,Stamina stat increase is good but not completely necessary unless you're short of stamina
Non-Standard Distance ◎,✕,2.50,90+110,/,Stamina stat increase is good but not completely necessary unless you're short of stamina
[Ground Condition] Conditions ◎,✕,2.50,90+110,/,Power Stat increase is decent but low priority
Competitive Spirit ◯,✕,5.56,90,/,It's unlikely for 40% of the lobby to use the same run style as you
Competitive Spirit ◎,✕,2.50,90+110,/,It's unlikely for 40% of the lobby to use the same run style as you
[Weather] Days ◎,✕,2.50,90+110,/,"Guts is extremely unimportant, only take it you really need to"
Target in Sight ◯,✕,5.56,90,/,"Guts is extremely unimportant, only take it you really need to"
Target in Sight ◎,✕,2.50,90+110,/,"Guts is extremely unimportant, only take it you really need to"
Inner Post Proficiency ◯,✕,5.56,90,/,"Post Numbers 1-3 is inconsistent "
Inner Post Proficiency ◎,✕,2.50,90+110,/,"Post Numbers 1-3 is inconsistent "
Lucky Seven,✕,4.55,110,/,"Inconsistent, even more so than the Post Proficiency skills"
Super Lucky Seven,✕,5.45,110+110,/,"Inconsistent, even more so than the Post Proficiency skills"
